Time,Parasites,ImmuneCells
235.97354772302182,56,274
237.01871291668584,52,270
238.04875148222874,54,272
239.07589667999991,71,268
240.07608013453876,61,297
241.0992982835249,79,314
242.14976816198555,43,317
243.2942981573319,25,289
244.38234405494214,37,268
245.38947858964806,41,252
246.4224526757878,54,263
247.46798291281783,54,268
248.51612443519605,53,284
249.52763573595797,68,275
250.55507827357607,68,285
251.58384784820353,66,294
252.61097177253524,45,298
253.6418138923157,51,303
254.7942533860496,32,309
255.79702618721817,27,310
256.8438088984405,12,279
257.8616738826507,40,271
258.86383859104416,49,280
259.92875878447927,37,270
260.98169364546175,52,267
262.005118626388,80,277
263.0202104945322,79,283
264.0363668074703,94,321
265.03855662533164,70,340
266.12127937096494,42,343
267.3022284719662,18,335
268.4198163911071,10,317
269.6079380334341,18,278
270.61911206459666,19,266
271.7557486028718,11,246
272.78108471056686,10,212
273.90565190984444,11,211
274.9430795516997,35,213
275.97273217573604,66,230
276.9839100973696,107,264
277.9946171699335,97,294
279.025045432192,84,327
280.04309536564085,69,350
281.12405714225133,43,346
282.1582214398406,35,347
283.20268695239537,33,328
284.343227298656,28,329
285.4588964029582,40,323
286.46169329442415,33,315
287.48114958567857,34,290
288.55118881379127,30,302
289.58245966154465,16,294
290.71822894004384,14,276
291.7589299094144,13,277
292.86828785663613,17,274
293.8817053475465,14,242
294.93893799907323,33,250
295.9632067188885,61,249
297.00049449111447,69,266
298.0249952828267,89,296
299.0281386977551,101,295
300.0424998254815,88,326
301.0488127848877,76,340
302.09548089285846,53,371
303.25959452492526,20,332
304.47097891811705,17,316
305.5347993428322,13,298
306.53510699872356,0,271
