Time,Lynx,Hare
0,4,30
1.0972188578068758,7,13
2.1694758534362086,13,7
3.191129606058236,16,5
4.195427188229464,26,3
5.213385100337349,45,1
6.215416210237871,72,1
7.232166703230027,109,5
8.232368926952969,126,50
9.234661121908628,24,89
10.243664926022207,7,54
11.292435459010722,3,26
12.292493690935625,5,18
13.311804288011441,6,8
14.504493114889378,8,4
15.50954514636815,11,2
16.688391123107518,16,1
