"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",1.80190253583981e-07,0.0317393925439059,0.0821784428685905,0.0358748360427256,0.0243328579951322,0.0241296473904201,0.000407001380417089,1.7,3574,0.00457539134464745,1.00102947931353
"c",0.00863714492879808,0.489313735746201,0.947004415770141,0.490347713970998,0.281590376655669,0.444249228822296,0.00368735278415869,1.3,5832,-0.0226756758643916,1.00052833564897
"u",0.0533535129049219,0.519005502250094,0.999039208517884,0.511406602717643,0.288020413178299,0.760825759461755,0.00388635084292002,1.3,5492,-0.0211168518649712,1.00109958038614
