"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",0.351178343489575,2.87051761253083,4.99670453924973,2.76606505840593,1.41258630687987,3.97022267840321,0.0232295861646864,1.6,3698,0.0298627308701024,1.00158090476279
"O",1.82036564135367e-05,0.0333190966436845,0.0911860569160035,0.0384359982057373,0.027480184721866,0.0216778466343306,0.000524349440641888,1.9,2747,-0.010977344006338,1.00100728245263
"c",0.0119848069734871,0.478716355946672,0.949251054465771,0.487838375485447,0.283022670321535,0.303447633536908,0.00391159234281713,1.4,5235,-0.0214489465045227,1.00024062598308
"u",0.0552456947688102,0.503197418320048,0.99920697453285,0.504460191383267,0.288812982843395,0.58786830281312,0.00384786894879838,1.3,5634,0.00724297468056149,1.0010824034955
