"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",0.311135964074902,2.69586631083901,4.97590952543548,2.63928428948887,1.40395870204428,3.82724571033044,0.0217274188191145,1.5,4175,-0.00934984567298144,1.00002731171781
"O",0.00242398435004575,0.441847875415376,0.950329251056678,0.460902845393355,0.299769434236986,0.200150908985134,0.0046343757127703,1.5,4184,0.0070324984966206,1.00088819706118
"h",0.249258579461386,0.659084356610203,0.999997026290289,0.641418991131812,0.22576742585423,0.821264004380425,0.00356392019528981,1.6,4013,0.00983112107405608,0.999995779756079
"c",0.00143097830038308,0.484369513578317,0.948210067438157,0.488877382393133,0.284764305687664,0.395619689595782,0.00387512577884355,1.4,5400,0.0147885396382806,1.00033821856902
"u",0.00152061735644136,0.505351865920639,0.952583702768372,0.50354233873194,0.290306706350932,0.74948178675056,0.00384790336469015,1.3,5692,-0.0272013017265495,1.00028310399053
