"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"c",0.0516299862843864,0.518186341626147,0.996816171332452,0.50822784948409,0.289441293921119,0.73836612556113,0.00393301650977341,1.4,5416,0.0045762674944871,1.00041517104522
"u",0.047353072790429,0.498053863910479,0.994988803234135,0.498221682963982,0.288997626301774,0.606148677196658,0.00384481867706692,1.3,5650,0.00974986965183337,1.00066224297071
