"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",1.15223091295229e-05,0.0336230160725844,0.087840020921184,0.0381765398284507,0.0263384246843945,0.0232598461293047,0.000461193025741901,1.8,3261,0.000529921564445685,1.00018923364172
"u",0.0525378672114718,0.504589104469861,0.999988616677001,0.504725902306702,0.289012603634217,0.755815452786351,0.00385800909174325,1.3,5612,-0.0247207728324529,1.00008690019935
