"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",0.0079893426580594,2.17109892049396,4.63553157771919,2.25091503084625,1.39533437820033,1.06901470710838,0.0205037753934076,1.5,4631,-0.0128521290750615,1.00017538857301
"h",0.000503458099828045,0.472526956349611,0.946492756251246,0.482782414100541,0.288622606716231,0.236558034262631,0.00395919348781341,1.4,5314,-0.00865703724709811,1.00147254844917
"c",0.0443247457013412,0.505894294684605,0.992924564982048,0.501898414131229,0.288001630931381,0.609727199643937,0.00385364257401279,1.3,5585,-0.0140167751017855,0.999908034475845
