"","Time","Parasites","ImmuneCells"
"1",0,1,1
"2",0.1,1.34920435843581,4.36528484261049
"3",0.2,1.81863603338348,7.56677684198047
"4",0.3,2.44776530415717,10.6129076139421
"5",0.4,3.28708124131143,13.5121724943097
"6",0.5,4.39938453370468,16.2735660398594
"7",0.6,5.85951012150812,18.9073345733092
"8",0.7,7.75094290469646,21.4262035977761
"9",0.8,10.1574216515646,23.8471879361722
"10",0.9,13.1482829335454,26.1938581684348
"11",1,16.7591323973562,28.4983968062531
"12",1.1,20.9739747729455,30.8021167565204
"13",1.2,25.7182412913883,33.1530784862329
"14",1.3,30.8681508493563,35.6006837067622
"15",1.4,36.2720012521985,38.1891735554631
"16",1.5,41.7715286166323,40.952725558825
"17",1.6,47.2140208419839,43.913642369965
"18",1.7,52.4539462866864,47.0830267997413
"19",1.8,57.348487356986,50.4625071374146
"20",1.9,61.7514752757781,54.0458590564655
"21",2,65.5090838608571,57.8198923719925
"22",2.1,68.4592573242244,61.7644117166165
"23",2.2,70.4365660809411,65.8512297197076
"24",2.3,71.2844488652679,70.0422942272165
"25",2.4,70.8763058285009,74.2871359518655
"26",2.5,69.1469189702292,78.5199634839081
"27",2.6,66.1315190368432,82.6575128131471
"28",2.7,62.0022866992573,86.5997976972553
"29",2.8,57.0809765083613,90.237075544388
"30",2.9,51.8020842004811,93.4654962096128
"31",3,46.6202324762908,96.2090194887733
"32",3.1,41.8986206196023,98.4376327265273
"33",3.2,37.8412083293751,100.1705722725
"34",3.3,34.4979472660403,101.463360740263
"35",3.4,31.8170249671415,102.38824629713
"36",3.5,29.7012167134488,103.018150675593
"37",3.6,28.0455339739126,103.417900182978
"38",3.7,26.7554848555043,103.6412074106
"39",3.8,25.7527948089527,103.730942638014
"40",3.9,24.9751909655353,103.720669299601
"41",4,24.3740660756885,103.636410063199
"42",4.1,23.911670922144,103.498295667205
"43",4.2,23.5586955321217,103.321881885981
"44",4.3,23.2922987589989,103.119185942796
"45",4.4,23.0945262240136,102.89951800083
"46",4.5,22.9512604979824,102.670035471623
"47",4.6,22.8512898410113,102.436248077211
"48",4.7,22.7856638874243,102.202370810619
"49",4.8,22.747207589963,101.971596668175
"50",4.9,22.7301415006778,101.746314925958
"51",5,22.7298006039723,101.528276059242
"52",5.1,22.7424085723562,101.318726396035
"53",5.2,22.7649052391919,101.118512824423
"54",5.3,22.7948104029237,100.928166402224
"55",5.4,22.8301153050661,100.747969679164
"56",5.5,22.8691962156575,100.578010537572
"57",5.6,22.9107447185417,100.418225690723
"58",5.7,22.9537112419757,100.268435798918
"59",5.8,22.9972590707612,100.128373833393
"60",5.9,23.0407266808985,99.9977080070649
"61",6,23.0835967744574,99.8760602783711
"62",6.1,23.1254707256601,99.7630212510543
"63",6.2,23.1660474276117,99.6581621286993
"64",6.3,23.2051057395348,99.5610442558419
"65",6.4,23.242489893254,99.4712266798606
"66",6.5,23.2780973435974,99.3882720879688
"67",6.6,23.3118686451899,99.3117514102069
"68",6.7,23.3437790153465,99.2412473280667
"69",6.8,23.3738313042753,99.1763568866383
"70",6.9,23.402050142927,99.1166933741399
"71",7,23.4284770754194,99.0618876053208
"72",7.1,23.4531665380532,99.0115887162554
"73",7.2,23.4761824739746,98.9654645804048
"74",7.3,23.4975956499299,98.9232018991873
"75",7.4,23.5174814169288,98.8845060505421
"76",7.5,23.5359177621064,98.8491006580259
"77",7.6,23.552983903214,98.8167277350546
"78",7.7,23.5687590071852,98.7871460725686
"79",7.8,23.5833213393903,98.7601308528975
"80",7.9,23.5967475498551,98.735473085489
"81",8,23.6091120521193,98.7129789956481
"82",8.1,23.6204865665392,98.6924690657205
"83",8.2,23.6309398361778,98.6737772254566
"84",8.3,23.6405374020702,98.6567501269133
"85",8.4,23.6493416314145,98.6412458226038
"86",8.5,23.65741144313,98.6271338155745
"87",8.6,23.6648021741383,98.614294623934
"88",8.7,23.6715659818511,98.6026177167478
"89",8.8,23.677751772728,98.5920015374007
"90",8.9,23.6834051656136,98.5823531749915
"91",9,23.6885687758715,98.573587215869
"92",9.1,23.6932822989666,98.5656253264575
"93",9.2,23.6975825965527,98.5583958316579
"94",9.3,23.7015039287223,98.5518329903502
"95",9.4,23.7050779447687,98.5458768568896
"96",9.5,23.7083337565864,98.540472980003
"97",9.6,23.7112983868834,98.5355712901171
"98",9.7,23.7139967456691,98.5311261132601
"99",9.8,23.716451762933,98.5270958183082
"100",9.9,23.7186845317278,98.52344244693
"101",10,23.7207144363788,98.5201314090457
"102",10.1,23.7225592736847,98.5171311982286
"103",10.2,23.7242353678395,98.5144131295547
"104",10.3,23.7257576793155,98.5119510984887
"105",10.4,23.7271399066219,98.5097213606514
"106",10.5,23.7283945896652,98.5077023128889
"107",10.6,23.7295331935217,98.5058743210275
"108",10.7,23.7305661934586,98.5042195462963
"109",10.8,23.7315031565569,98.5027217812819
"110",10.9,23.7323528148327,98.5013663067474
"111",11,23.7331231335982,98.5001397589381
"112",11.1,23.7338213749339,98.499030008101
"113",11.2,23.7344541564996,98.4980260474535
"114",11.3,23.7350275058652,98.4971178917237
"115",11.4,23.735546910717,98.4962964844495
"116",11.5,23.736017364976,98.4955536136922
"117",11.6,23.7364434119836,98.4948818338538
"118",11.7,23.7368291828009,98.4942743969714
"119",11.8,23.7371784319724,98.4937251890951
"120",11.9,23.737494571716,98.4932286698598
"121",12,23.7377807017275,98.4927798203313
"122",12.1,23.7380396368947,98.4923740947828
"123",12.2,23.7382739327256,98.4920073767305
"124",12.3,23.7384859086023,98.4916759389854
"125",12.4,23.7386776702285,98.4913764053984
"126",12.5,23.7388511220512,98.4911057293123
