"Time","Parasites","ImmuneCells"
0,1,1
0.1,1.0191821795103,1.00010086241089
0.2,1.03873220855416,1.00020366805333
0.3,1.05865713766118,1.00030845452354
0.4,1.07896324399598,1.00041525530585
0.5,1.09965902693626,1.00052411575183
0.6,1.12075165678528,1.00063507413915
0.7,1.14224873756385,1.00074817107484
0.8,1.16415801065149,1.00086344791428
0.9,1.18648738563805,1.00098094693012
1,1.20924491145227,1.00110071115556
1.1,1.23243879097068,1.00122278446467
1.2,1.25607738507219,1.00134721159521
1.3,1.28016921451026,1.00147403815956
1.4,1.30472296324348,1.00160331066379
1.5,1.32974748133646,1.00173507652424
1.6,1.35525178808632,1.00186938408547
1.7,1.38124507535038,1.00200628263939
1.8,1.40773671081588,1.00214582244403
1.9,1.43473624134786,1.00228805474288
2,1.46225339640874,1.00243303178465
2.1,1.49029809153712,1.00258080684336
2.2,1.51888043189383,1.00273143423894
2.3,1.54801071587642,1.00288496935818
2.4,1.57769943880194,1.0030414686762
2.5,1.60795729665861,1.00320098977832
2.6,1.63879518992884,1.00336359138236
2.7,1.67022422748442,1.00352933336151
2.8,1.70225573055535,1.00369827676756
2.9,1.73490123677375,1.00387048385468
3,1.76817250429406,1.00404601810375
3.1,1.80208151599111,1.00422494424707
3.2,1.83664048373745,1.00440732829375
3.3,1.87186185276135,1.00459323755551
3.4,1.90775830608711,1.0047827406731
3.5,1.94434276905904,1.00497590764327
3.6,1.98162841395076,1.00517280984627
3.7,2.01962866466138,1.00537352007401
3.8,2.05835720150014,1.00557811255879
3.9,2.09782796606122,1.0057866630026
4,2.13805516619019,1.00599924860712
4.1,2.1790532810441,1.00621594810431
4.2,2.22083706624664,1.00643684178773
4.3,2.26342155914023,1.00666201154444
4.4,2.30682208413695,1.00689154088763
4.5,2.35105425816985,1.00712551499003
4.6,2.39613399624677,1.00736402071791
4.7,2.44207751710835,1.00760714666593
4.8,2.48890134899222,1.0078549831927
4.9,2.5366223355053,1.00810762245709
5,2.58525764160621,1.00836515845545
5.1,2.63482475969974,1.00862768705948
5.2,2.68534151584547,1.00889530605506
5.3,2.73682607608266,1.00916811518189
5.4,2.78929695287343,1.00944621617401
5.5,2.84277301166641,1.0097297128012
5.6,2.89727347758314,1.01001871091131
5.7,2.95281794222931,1.01031331847355
5.8,3.0094263706332,1.01061364562273
5.9,3.06711910831359,1.01091980470444
6,3.1259168884794,1.01123191032134
6.1,3.18584083936368,1.01155007938039
6.2,3.24691249169402,1.0118744311412
6.3,3.30915378630212,1.01220508726545
6.4,3.37258708187496,1.01254217186746
6.5,3.43723516284994,1.01288581156581
6.6,3.50312124745684,1.01323613553625
6.7,3.57026899590903,1.01359327556577
6.8,3.6387025187466,1.01395736610783
6.9,3.7084463853343,1.01432854433898
7,3.77952563251684,1.01470695021671
7.1,3.8519657734344,1.01509272653861
7.2,3.92579280650133,1.01548601900295
7.3,4.00103322455068,1.01588697627062
7.4,4.07771402414778,1.01629575002853
7.5,4.1558627150756,1.01671249505445
7.6,4.23550732999506,1.01713736928344
7.7,4.31667643428334,1.01757053387572
7.8,4.39939913605327,1.01801215328624
7.9,4.483705096357,1.0184623953358
8,4.56962453957723,1.01892143128391
8.1,4.65718826400913,1.01938943590337
8.2,4.74642765263635,1.01986658755654
8.3,4.83737468410454,1.02035306827355
8.4,4.93006194389571,1.02084906383227
8.5,5.02452263570685,1.02135476384027
8.6,5.12079059303654,1.0218703618187
8.7,5.21890029098289,1.02239605528818
