"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",1.9135209241409,1.92593030049068,1.93731231612893,1.92579698500868,0.0060752924331832,1.92610868811068,0.000113940200029552,1.9,2843,-0.016717015695615,1.00215101032017
"h",2.94386806966456e-07,0.000995482275584268,0.0041800157906015,0.00142238328388686,0.00137489317659,0.000447238534389331,3.57393605447776e-05,2.6,1480,0.0151071796065195,1.00119729481249
"u",0.702683246616435,0.708983738819933,0.715851072344168,0.709034466587883,0.00337979656097508,0.709001437734421,5.37270725369857e-05,1.6,3957,0.00126767813045029,1.00036398101382
