"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.0152087652852874,0.0153019425520449,0.0154179579690177,0.0153083912478035,5.42457681934629e-05,0.01529265615022,2.22169655839729e-06,4.1,596,0.265447309325943,1.00187132949669
"h",1.36641803957906e-07,0.00194051710364962,0.00797734084476449,0.00271483139292608,0.00258874614743871,0.000859134388498184,0.000113308293167676,4.4,522,0.309263971782584,1.00093179300266
"u",0.773791971511764,0.780893402454085,0.788284600517852,0.78086820755941,0.00370580167963462,0.780927807570105,7.19860490687897e-05,1.9,2650,0.0128075780341051,1.00050477006482
