"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",1.77998106684081,1.79026168112888,1.80131494985532,1.79030020403388,0.00541620022560532,1.7899741631934,9.82605027040565e-05,1.8,3038,0.00970707334670192,1.0000654200349
"c",5.69924153663612e-08,0.00510477140648499,0.0218338541128199,0.0071697434907055,0.00678961069641355,0.00226949787919466,0.000313037588863129,4.6,470,0.368855038248276,1.00328899727462
"u",0.449144355548528,0.459317128022864,0.473896266493097,0.460342941445017,0.00639010831249394,0.458198138896442,0.000282348440568961,4.4,512,0.318233020219168,1.00906660345746
