"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.0141787277968148,0.0142378617771439,0.0143021044932998,0.0142399483448733,3.1661705669723e-05,0.0142349748852077,7.70254317803489e-07,2.4,1690,0.043874189062483,1.00162270244179
"h",1.0390550656298e-07,0.000912052508283915,0.00398019544027538,0.0013356602681888,0.00134892133693222,0.000405907844168469,4.10083460484018e-05,3,1082,0.0938998933130924,1.00118624364153
"b",1.56412036516447e-06,0.00851623035300506,0.0364084097931626,0.0122182473343007,0.0122448774689841,0.00369277429414375,0.000307126808481701,2.5,1590,0.00396699752905544,1.00019844452327
