"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.0154269362532257,0.0155197361860581,0.0156364550839396,0.0155258031867294,5.42220408941778e-05,0.0155117428816051,1.96354720724974e-06,3.6,763,0.193208815978719,1.01242758558658
"h",5.39872736426412e-07,0.00187629664825321,0.00755490638105399,0.00257786697279231,0.00244162370442236,0.000841595229239548,9.46206862065899e-05,3.9,666,0.230373160637679,1.00367900951956
"b",98.3221679550639,99.6098501558356,99.9999678164787,99.4385633419122,0.548965119683556,99.8273902839886,0.0177926506661153,3.2,952,0.0972967927050244,1.00124936973824
"c",1.26341613892709e-06,0.013068792153093,0.0469346147349871,0.0169879361033764,0.0153898705160781,0.00587371535281058,0.00133591554419669,8.7,133,0.74113998357747,1.22713878159091
"u",0.825962671819673,0.850750273898271,0.889618533258996,0.854345338537665,0.0174470817179204,0.846277982084422,0.00152845792728623,8.8,130,0.724365745064174,1.19946060045924
