"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.0152577339426272,0.0153529225305618,0.0154666600338497,0.0153591514861091,5.37556244936129e-05,0.0153418087865007,2.0319514280269e-06,3.8,700,0.245374652137595,1.00671454988906
"h",1.87582706731521e-07,0.00185980847534578,0.00770197728739101,0.00262235244150983,0.00254742409624292,0.000823882969106591,0.000108270028373587,4.3,554,0.276255663383643,1.0012414537032
"b",25.3727061111804,26.6973925692373,27.9337958042603,26.6718933748361,0.665180567272291,26.6754036800301,0.0184737894989081,2.8,1296,0.0787555105780637,1.00135257882074
"c",5.02393514833945e-08,0.00131371721460635,0.00568206531906949,0.00190619161684375,0.00190243405360885,0.000593841765293831,6.2258925001127e-05,3.3,934,0.112946463206522,1.00056932675354
