"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.0165584487328592,0.016630065017654,0.0167052035300938,0.016630084879959,3.74981792989217e-05,0.0166274394148618,7.84216739471268e-07,2.1,2286,-0.0159378573040107,0.999918661701891
"b",25.249947574755,26.5800972789043,27.7960564940049,26.5598356627576,0.64832817882157,26.5835574949331,0.0170833107871005,2.6,1440,0.0331047671320062,1.00128084505542
"c",2.57437562621139e-08,0.00126488344681543,0.00526748539775332,0.00178286780840763,0.0017120046666585,0.000552695366767493,4.70091451135752e-05,2.7,1326,0.0369093103418667,1.00280620266019
