"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",4.97793884912946,4.99484001196762,4.99999878774158,4.99262423152279,0.00714743378585833,4.99774792815417,0.000326224864128928,4.6,480,0.332600655799382,1.01065653128786
"O",0.0341156948410295,0.0342794501875217,0.0344067276008183,0.034273137156901,7.32660993177364e-05,0.034279855755057,3.40135182545758e-06,4.6,464,0.330539053682666,1.01150622360002
"b",23.1722041482497,24.6511421755784,25.9767953825236,24.6235524027551,0.707647734135664,24.6971247556602,0.0280138804924049,4,638,0.230679230435318,1.00239121994384
"u",0.993339102165976,0.998514946696625,0.999999892639514,0.997832661959537,0.00217934202007499,0.999354850038937,7.52030063130531e-05,3.5,840,0.164250788448748,1.00092554073939
