"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"h",2.21562701962106e-09,1.38099476439855e-05,6.18601106593961e-05,2.01565274889404e-05,2.03515655889182e-05,6.22692255600883e-06,5.11634828680082e-07,2.5,1582,0.0202924611980658,1.00285198920039
"b",5.70253243099391,6.65201664994293,7.65816208649747,6.6482144353842,0.504208978390176,6.67052410976865,0.00718218686891741,1.4,4928,0.00154268906400805,1.00064931119798
