"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",1.94258131973054,1.95322126087171,1.96352470643619,1.95307696428933,0.0053885983742958,1.95365677984051,9.80932273304329e-05,1.8,3018,0.0280781932443954,1.00017137191334
"h",4.2928982827373e-07,0.000977283656346274,0.00395013032579667,0.00136499596908143,0.00128025665347138,0.000441973842040782,3.1548828268076e-05,2.5,1647,0.016278037628457,1.00035028824894
"c",2.52283343462817e-08,0.000188688859741329,0.000839860758023559,0.000276219031801353,0.000280420181922179,8.44307252287289e-05,7.20083155501647e-06,2.6,1517,0.0119336828999718,1.00145406009785
