"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.0167433524367532,0.0168259451369731,0.0169032856905153,0.0168252904137036,4.08697562939457e-05,0.0168283231577577,9.30743851877427e-07,2.3,1928,0.0569775247858922,1.00253393833384
"b",98.3923243093282,99.6102012987821,99.9999179699365,99.4528335780169,0.522593791516271,99.8286435881685,0.0158945164115006,3,1081,0.0914532033061982,1.00311473110073
"c",6.83857221120336e-06,0.0156150076527068,0.0704892074618051,0.0227845211120753,0.0215144119881517,0.00690255310710706,0.00260343946621368,12.1,68,0.857319077253647,1.09395323661184
"u",0.82956108522455,0.854692028067854,0.917593741774731,0.861747098640397,0.0239649783894829,0.847674980068123,0.00292948893106665,12.2,67,0.851713131829579,1.21224657405704
