"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.0152632479347462,0.0153588514542886,0.0154838943298673,0.0153669291620489,5.81650471937425e-05,0.015348771462485,2.82622932970429e-06,4.9,424,0.350708591941422,1.00737787505855
"h",1.17830686869574e-08,0.00199869415830675,0.00874227977051083,0.00291918823706627,0.00293913521053195,0.000877189339499358,0.00014748430753232,5,397,0.399084951037617,1.00211153578648
"b",71.1410396666963,72.9976321994613,74.5376964051065,72.9487036376194,0.865535195576113,73.0730779479003,0.0240281279779032,2.8,1298,0.071155485397166,1.0007253169311
"u",0.990729588474551,0.9979873039682,0.999999489738187,0.997019384868193,0.00302804469681985,0.999088550888764,9.65162972913919e-05,3.2,984,0.102020552655807,1.0002557988278
