"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",4.97786702604446,4.99475375962997,4.99999905352027,4.99260316782377,0.00713445110753106,4.99771287717884,0.000362923700859189,5.1,386,0.414182753196998,1.01864853218565
"O",0.0343793967094407,0.0345329816844883,0.0346673713678033,0.03452644058375,7.4378171914334e-05,0.0345365936286418,3.89977044927194e-06,5.2,364,0.436546988605279,1.00747983305091
"b",24.0463717562971,25.4791753598843,26.7980222956573,25.4114812857769,0.728597908908739,25.5837223343394,0.0357654870397814,4.9,415,0.389958965620537,1.01322020683842
"c",5.7913174397308e-07,0.00113184691655814,0.00438254187504409,0.00155471843411897,0.00141774586282219,0.000501559999257214,6.83376475544332e-05,4.8,430,0.359304147196103,1.00300326812822
