"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",1.81892332660055,1.82756204256083,1.83703487824567,1.8275874094267,0.0046601122816441,1.82830951201731,6.54809992072488e-05,1.4,5065,0.00424632785056619,1.00019594669929
"c",1.8641647751473e-09,0.000206382689754408,0.000845276015017872,0.000290767826631532,0.000286841297401865,8.8296711930752e-05,6.9339525045272e-06,2.4,1711,0.00596809316862414,1.00211299435888
