"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",2.73141242804925,2.83822521313491,2.97009360705472,2.84753231520381,0.0649280183020896,2.81509828319248,0.0147721372155573,22.8,19,0.953149496112176,1.28868912664276
"O",0.0177275572178966,0.0184097203268655,0.0192398305018645,0.0184704223790587,0.000409954295251885,0.0182677058087442,9.48726282696059e-05,23.1,19,0.952651569499937,1.28936817788066
"b",6.72207835512814e-06,0.0264130362799049,0.113153049154033,0.0386336200649017,0.0384999364840369,0.0118982099248192,0.00104688065980587,2.7,1352,0.0321499329575908,1.00047082377475
