"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.000112334546732566,0.448685502395897,0.93881362349233,0.459130803700674,0.297493930314411,0.200133243277031,0.00462768307149843,1.6,4133,-0.00163887902241711,1.0006032504117
"h",0.266370942382993,0.672295806894679,0.999967717079439,0.649364108999416,0.225457255926856,0.821850839812327,0.00346210151565057,1.5,4241,0.00522629848266072,1.00070144272747
"b",3.75161091884403,48.6123107600908,98.4294212652439,49.170174480098,28.995998355544,26.876037826325,0.381425187114376,1.3,5779,0.00525795238294793,1.00007092727984
"c",0.00324796732054396,0.486033890144552,0.947499917858017,0.489562129825804,0.287030322814114,0.29060428551349,0.00390833405529779,1.4,5394,-0.0279837759820759,1.00058927612807
"u",0.0446485737713025,0.501612660341028,0.988030833490534,0.50714612561473,0.287176876644567,0.476125363501649,0.00395909947489304,1.4,5261,-0.00057931164979761,1.00072371948709
