"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"O",0.00184083272135825,0.448465908532979,0.943285300848839,0.464946800139805,0.29604007732086,0.213829707557498,0.00458856674493848,1.5,4162,0.00498795941066578,1.00030900979076
"h",0.272207523605861,0.66001624840862,0.999674501027457,0.645392077233112,0.22005814120661,0.814200419467112,0.00327231772552725,1.5,4522,0.0110651835305097,1.00013149415885
"b",1.45948147435195,49.9491307769385,95.886303330432,49.5328412466813,28.7435321560658,43.209991386531,0.389893412749208,1.4,5435,-0.00427521809598952,1.00134503320907
"u",0.0356494458346473,0.510034404536646,0.979458381882742,0.503162450996388,0.285868422764538,0.587346251389969,0.00378892802644468,1.3,5692,0.00832526528282751,1.00170867678636
