"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",0.369227832419191,2.93267797635184,4.99892417811493,2.79812997735904,1.39797616742464,3.97729163030746,0.0233017632945725,1.7,3599,0.0195671587704157,1.00070035120847
"O",1.8350753360269e-05,0.0334881089148395,0.0894422036098841,0.0381844328987754,0.0262944722604992,0.023528374398952,0.000483510096162051,1.8,2957,-0.00841010813956356,1.00100156897581
"b",0.121380202252612,49.8341404250437,94.7023559514395,49.7266475433047,28.7809170216498,64.7665805649283,0.390954706981372,1.4,5419,0.0169704940102455,1.00058596865278
"c",0.0112653183750808,0.470233252847156,0.955061188839738,0.478863201524645,0.286859855682638,0.268672917572091,0.00392048855715229,1.4,5354,-0.00481522910532127,1.00103451898773
