"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",0.326223807718191,2.65717176461189,4.99809693477274,2.62789405389089,1.39821806402864,2.90928280722499,0.0197071239768005,1.4,5034,-0.00748003632905198,1.00001349793218
"O",0.000245909672287737,0.439284680391878,0.944930034950791,0.457583006599593,0.2988126215237,0.200286359609123,0.0049208323703805,1.6,3687,0.0123179257769212,1.00012483131473
"h",0.25251022297031,0.668054947743592,0.999910690931577,0.644691098467922,0.225561790177613,0.827313854048476,0.00357515451619519,1.6,3981,-0.0133389176071673,1.00107844772909
"b",1.20340164906598,48.6029494524635,95.861389636436,49.5118462337836,28.7994864746654,26.2187639789908,0.378010562339201,1.3,5804,-0.00843698151999068,1.00019759464417
"c",0.0031804358586669,0.469931547448916,0.948406194568161,0.480774336102541,0.289557645906146,0.250785640756594,0.00393386603192239,1.4,5418,-0.00209871335025991,0.999896407489694
