"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.10","psrf"
"r",0.0103757053172159,2.25589290103749,4.65531618396806,2.3312234036508,1.39154507119816,1.26208999954464,0.0192431527765897,1.4,5229,-0.00033006544403333,0.999871670238071
"c",0.0408410232143572,0.511060979142687,0.984338139645834,0.508071443993753,0.287295595772068,0.70813842807532,0.0038326577828302,1.3,5619,0.00397905794262053,1.00097075216191
