"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"theta[1]",2.12517141194144,0.000311257702927443,0.0352169483589868,2.05649326257971,2.10191793024324,2.12477518421592,2.14797394010389,2.19496439785321,12801.5696934674,1.00011661477464,2.12496458255593,0.0358591597821587,2.05547819835262,2.10156054604946,2.1245391571927,2.14811524531714,2.19646930517893,2.1259133924693,0.0344571237631763,2.05844378693665,2.10307584958003,2.1254906130809,2.14861375050691,2.19383663916757,2.12463626079907,0.0353114134540157,2.05614993796313,2.10138060977069,2.12426225064463,2.14752037324839,2.19474282445832
"z_init[1]",49.4324244373987,0.0501367536493885,6.45642793828012,37.6980792071819,45.0004387806978,49.0850019883614,53.495678625384,63.1448150448285,16583.3473045726,1.00005042276563,49.4740163990395,6.51555607214612,37.6894761421423,44.9633584594251,49.144540396797,53.5362608128585,63.5364142072176,49.4753579247122,6.41819714228533,37.947406436017,45.0691531434458,49.1107251873943,53.5273693129418,63.2103931270847,49.3478989884445,6.43492648032769,37.4612426585803,44.9429923009637,48.9947799943464,53.4252012152677,62.9105777282949
"z_init[2]",219.150336695789,0.0714291416376381,8.09526144992338,203.079259894121,213.802018820248,219.110623128258,224.557535648526,235.041297016855,12844.313485502,1.00016310465245,219.081079998964,8.21352989975438,202.773380628399,213.653485797696,219.053386304004,224.597847015324,235.054704591177,219.315468585581,8.01153826292738,203.346956997918,214.125075764452,219.220707310367,224.621134317099,235.08136033506,219.054461502821,8.05759280603667,203.123338646447,213.637794522868,219.053993987091,224.456884618027,234.970965979364
"sigma[1]",0.27897006742971,0.000326656535115271,0.0462236127913288,0.205682400509032,0.246233382939215,0.273000807908537,0.305275284135501,0.386831894625485,20023.7341537035,1.00008774218093,0.279422364161464,0.0466356538295247,0.206037779421218,0.246765748164238,0.273330549220879,0.305501220215589,0.388319244447649,0.278837141385269,0.0455208752252154,0.206400295036912,0.246360267197276,0.272684472023518,0.305501473319383,0.383423452833653,0.278650696742398,0.0465073751630198,0.204767439051037,0.2455633288551,0.272957326771603,0.304872219059281,0.389293769249935
"sigma[2]",0.102931343470535,0.000129884268265896,0.0177476057532412,0.0750249318495106,0.0902254107556909,0.100644722334531,0.113058532876303,0.144317303675179,18670.9510946284,1.00043148679259,0.103534324754318,0.0179960007290252,0.0750343546041337,0.0907189333771458,0.101257916336823,0.113667130188687,0.145711076785042,0.102717590753245,0.0176858463268776,0.0750053931223092,0.0900801211687069,0.100410216785867,0.112803332362153,0.144391905674287,0.102542114904042,0.0175439305051559,0.0750726227190494,0.0898760885845008,0.100243683375868,0.112585647263815,0.14317869694473
"z[1,1]",36.711854601875,0.0251113264621628,4.04075758359567,29.2773241917113,33.9322471682803,36.5187810744564,39.2364007159255,45.3229711991443,25893.2333382741,0.999968176066128,36.7554920175053,4.06293082999878,29.3108258931725,33.9626573819806,36.5659320301008,39.2979300851164,45.383818357656,36.7078742034862,4.00573097840528,29.3962724355304,33.9466485616791,36.4932295587472,39.2061420834316,45.3009983937069,36.6721975846335,4.05335055509193,29.1885644674394,33.8783647867068,36.4879884660638,39.2151123482926,45.3048531877282
"z[1,2]",198.949083915954,0.0707309810829791,7.71649622094818,183.916812025369,193.78648038812,198.818403232023,203.95911129566,214.432209031122,11902.0270111874,1.00016195145783,198.924320953661,7.83099478411052,183.790179263046,193.708421869856,198.826209481574,203.972664202323,214.914755272342,199.084642215697,7.64502595392971,184.07554572,194.018496003232,198.891686544057,204.066844170051,214.161640904704,198.838288578504,7.6708984286039,183.916750316579,193.641630883597,198.713758350039,203.85518583932,214.398766134817
"z[2,1]",34.086873894335,0.0164838322933074,3.1643583015382,28.2063854343845,31.9315170982388,33.9630974362376,36.0907004939861,40.6530810477339,36851.4797316506,0.999950530719919,34.1254527226638,3.17587739475122,28.2646900896057,31.9276876653153,34.0028439045763,36.1547633071843,40.6870829577206,34.0629987308585,3.12722407267164,28.2125501446745,31.9421425454717,33.9264128952958,36.0198540227976,40.5442290111069,34.0721702294827,3.18959101024943,28.1539125231689,31.9186025259233,33.9450179890204,36.0851167479303,40.7365967488653
"z[2,2]",179.447705631772,0.0574691084243008,6.44043939546584,167.093357022988,175.151218672784,179.29676270214,183.613930670258,192.637282056982,12559.2028980761,1.00012565651947,179.452244319645,6.52808661061193,166.97522193468,175.071404204789,179.322118924799,183.707538761805,193.039763973232,179.540213560177,6.37987729656454,167.285106108155,175.297797239129,179.336900255005,183.637333784432,192.457115595915,179.350659015493,6.41165565393774,167.053884010217,175.074826331767,179.228352738991,183.520419810205,192.383651027547
"z[3,1]",38.6692552515197,0.0188019405623649,3.25094467472653,32.6490597089194,36.4565872894316,38.5452753906161,40.7934552782318,45.3207109036876,29896.0496716669,0.999999274097681,38.7008063228645,3.26105486866472,32.6878648972468,36.5014757616934,38.5457671965549,40.8160965649458,45.3145841364906,38.6374428017114,3.21855823384614,32.6248852725588,36.4485453463352,38.5451011744039,40.7560207723183,45.1983418556243,38.6695166299831,3.27298549367175,32.6350668418556,36.4248187404004,38.5452753906161,40.8082145868086,45.5297916668238
"z[3,2]",165.430827497127,0.0420792376473652,5.09498880307085,155.81655525651,161.97684312722,165.264837199906,168.698985381538,175.976100745275,14660.5661444497,1.0000663895285,165.451824112414,5.15231565004864,155.668250683498,161.965792592139,165.295664127602,168.706730559726,176.149696857666,165.485436716592,5.0371124189931,156.053707881051,162.06712347,165.274707852714,168.731348284545,175.940012839141,165.355221662375,5.09449965662786,155.810270137695,161.898444164082,165.2279310116,168.656870018779,175.841805061007
"z[4,1]",50.2033338792475,0.024669018103639,3.88299430077571,42.9855875457036,47.5597334762079,50.1124706945322,52.7102183373341,58.0638620832337,24775.9193615944,1.00003816045102,50.2206378436691,3.88499066801439,42.9145778655436,47.5798618740049,50.1374884508751,52.725790324206,58.116234518372,50.1751367158656,3.86064197476121,43.008827881775,47.557650443012,50.0667334022327,52.6965890722792,58.0280362183432,50.2142270782078,3.90346356610817,43.0282694715151,47.5449869229511,50.1204891331127,52.7083012926753,58.0692304140922
