"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"theta[1]",35.6720325460875,0.00936867138732674,1.01256502470971,33.6972120342685,34.990029175083,35.6745463706109,36.3517030947684,37.6570040346952,11681.2638157576,1.00345895359062,35.6138953838901,1.0196720186438,33.6194364226171,34.9371563145722,35.6152930818792,36.2927852460431,37.6083457512851,35.6365789754146,1.00470077848161,33.6767310577691,34.9507886453318,35.6396143137381,36.3129565287597,37.5959369019586,35.8080329940865,1.00583940896767,33.8591928985657,35.1227770138298,35.8006116817763,36.4924721092077,37.7739192489028,35.6296228309587,1.00779841892085,33.6760556056299,34.9596403312927,35.6334512099065,36.304658635599,37.5962082438682
"theta[2]",0.28658103978226,0.104424852620893,0.149419599354874,0.0192055604275657,0.229375352682981,0.358047579449037,0.382040379178459,0.429333121394935,2.04742213011414,6.17582756965399,0.371471106696919,0.0290611394142705,0.318394268078945,0.351608857076635,0.369813350596422,0.390000839622465,0.433402920688058,0.371243488215335,0.0288834189644612,0.320060920671818,0.351977807321924,0.369226142629107,0.388407725179159,0.4344433330577,0.0316748391808454,0.0110808818384001,0.0123059759048548,0.0245946686204318,0.0307452541074247,0.0374709011521298,0.0571561760982084,0.371934725035939,0.0294081063979919,0.319908053077219,0.35179795368512,0.369842670317368,0.390130926804294,0.434672122284543
"z_init[1]",103.366559654429,34.98297574805,126.090972225693,33.2062856700445,68.3035711162722,76.549128354454,86.7364168562567,406.74440614005,12.9913561469502,1.0933114023944,75.5392841337021,10.0267712090238,56.2342327018929,68.7087212957447,75.2987908810657,82.0698994496186,95.8974831197204,75.5700860408893,9.96213628294043,56.7129900838893,68.8691351930784,75.1695949834335,81.9297720348691,95.9859000909569,186.846460758868,232.391088778661,17.3453358392905,58.8315164497099,113.476025512763,222.653299987283,816.137298313859,75.5104076842576,10.1150997101774,56.5090731519465,68.7133847397131,75.1656683239264,81.9289056649136,96.4116856510193
"z_init[2]",376.832568183968,157.196688460822,224.139946571249,229.197705784217,244.337390378413,253.324294014167,346.373390380729,838.76921637648,2.03306724025367,7.43931350909927,248.732008213837,10.6243650786218,227.937470604914,241.786042364376,248.729484995781,255.856191288093,269.372489742744,248.891253296075,10.5691315419974,227.739756376537,241.907515163794,248.930299167698,256.083519105451,269.349662981224,761.030661414655,61.6621762635566,634.389202199069,720.130602925884,763.099811138257,802.830554087435,877.490817794596,248.676349811306,10.6075600902295,227.779450685193,241.60532871312,248.843346838486,255.722806446928,269.642790555585
"sigma[1]",2.10311639031621,2.16482207569151,3.10867542105083,0.253208048001837,0.312274304157941,0.360425821600123,1.64983149842497,8.95238616685284,2.06208395434758,5.46448700045782,0.342553194011592,0.0599807439294098,0.246477386977613,0.300111810958462,0.334671072460561,0.375329081135659,0.48265686307899,0.342212812309477,0.0594001527922407,0.249136174402812,0.300322577522768,0.334054191632694,0.37501609793153,0.480380551385296,7.38390805689762,1.20892986169918,5.49156573030533,6.51893274094378,7.23611868698848,8.06894998713304,10.1413061122894,0.343791498046149,0.0603819171786515,0.248976998622782,0.30123298363573,0.336004650547752,0.377730518554879,0.484963302316693
"sigma[2]",0.316767372211061,0.119938387029181,0.178050908200564,0.165556655107984,0.20190123042807,0.23073914223129,0.393990126149506,0.745985690485226,2.20379898400516,3.10977889544944,0.220284092900195,0.0367914656534861,0.163183534080482,0.194614242448132,0.215320388541251,0.24001905254072,0.305965465667347,0.220485715610884,0.0371795282941873,0.162086842380553,0.194120236081152,0.215637181202292,0.241647679496488,0.30758169088328,0.606646798986666,0.103889175356193,0.438309900322541,0.532408549425533,0.594777202764858,0.669150246239506,0.838229959361025,0.2196528813465,0.0351771666100352,0.16346987459319,0.194799410528163,0.215382647173572,0.239760952349956,0.300307936237531
"z[1,1]",40.784909090079,16.3469803093732,26.7455947443001,0.246180817341589,31.0199544290449,50.0240996146528,56.6526504519761,69.0719485907067,2.67688331386684,1.88502884989034,53.6475382764865,7.88982556773059,39.2166953541156,48.2913606789926,53.2773828919693,58.7300580934666,70.1934309064513,53.5739200935233,7.7713339786827,39.3980146120056,48.1522991048394,53.2412936957219,58.6266574239107,69.8436162550144,2.28263530636479,26.4378703953096,0.142004475045289,0.40523301600955,0.729103483624614,1.36887715225579,5.98687614001393,53.6355426839415,7.94672404272244,39.3348037709141,48.1976672041491,53.1359761532171,58.6622031566859,70.3756546979664
"z[1,2]",322.086237954405,89.7646082248182,128.799823827192,233.384949501181,245.653730381489,252.708530772908,304.76671644769,598.514026971004,2.05882891238502,5.6161251265286,249.037340297413,8.40294564538694,232.274674333228,243.558176145261,249.156765037156,254.465633144548,265.340393819768,249.142405871553,8.4066814197216,232.151316578014,243.733257547621,249.324849274584,254.787590475197,265.286919114124,541.111245511196,46.7144225803298,451.437066380684,510.315950728597,540.358220683138,569.9826294045,636.365486478275,249.053960137456,8.36828511012446,232.204788951053,243.437989014648,249.208732539072,254.755920870157,265.329402952086
"z[2,1]",30.2089754668956,12.4254187247903,18.1752229080813,0.0114693564252788,17.7742474623767,37.4503267742961,42.4664920616616,52.376942242555,2.13962382864986,3.67869606380978,40.2964232271237,6.10224045904106,29.4757052870226,36.1473931061228,39.9363778533703,44.0498075697217,53.6677784474534,40.2093956421172,6.01778575502618,29.6155585839132,36.0063558099905,39.8561345226852,43.9999477394227,53.0533261236617,0.0728342697947263,0.314352620876088,0.00599402016965502,0.0194523807098723,0.0368299891939442,0.0711161780589012,0.280675871902502,40.257248728547,6.07150797576141,29.4991893770193,36.0878187256229,39.8597120804097,43.9829863832484,53.2989858151221
"z[2,2]",271.97481516771,47.9068123138792,69.3872111167775,220.013263311291,230.056185619142,236.118146093333,268.418915796479,426.638625682227,2.09780113533606,4.39731380718117,233.086053098817,7.18285988085134,218.697943281546,228.332539733043,233.112776387561,237.773605013828,247.368601403153,233.093865818353,7.16101557495274,219.441933030957,228.387223905411,232.970321796537,237.691171187388,247.558291398161,388.577018688543,31.2257113578242,329.085402544869,368.181308416329,387.959691363558,407.610851440365,451.966296259704,233.142323065126,7.20782759166525,219.208734077652,228.387734319254,233.083055025466,237.859186005532,247.461550456458
