"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"theta[1]",2.13140488601555,0.000270544722808625,0.0395086277215561,2.05593022410425,2.1051078202932,2.13076783897107,2.15652917770415,2.21241727594095,21325.820845345,1.00000054212595,2.1315069408884,0.0393491290922948,2.05607439891998,2.10580275099741,2.13101162445499,2.15642836451248,2.21203523591643,2.13155827009303,0.0392494494934958,2.05627780488745,2.10566834519932,2.13102487512852,2.15665427748646,2.21356677097868,2.13114944706523,0.039926617239154,2.05507537779467,2.10387238694511,2.13036114385577,2.1564847265931,2.21101840259462
"theta[2]",34.7805746869642,0.0058639479180827,0.94917967436635,32.9408971670811,34.1423485009104,34.7768371966662,35.4159480403329,36.6592289338841,26200.9266115208,0.999927768533386,34.779140848588,0.938784871864241,32.9431671906362,34.1497720079326,34.7781096862686,35.402177697017,36.6424336286857,34.7817377011688,0.956022026883945,32.9412767490888,34.1340665768893,34.7690740555482,35.4251342310816,36.6699727663412,34.7808455111357,0.952736970734944,32.9339192521612,34.1429883562331,34.7846840267161,35.4168457680566,36.6531221928895
"theta[3]",0.313384210528698,0.000141228197080943,0.0204543733997542,0.274030744877865,0.299745049642691,0.312945833448341,0.326567512539423,0.354911825549018,20976.3311138193,0.999978567131861,0.31354069756446,0.0201857120692602,0.274278162442609,0.299913017258776,0.313390215723504,0.326577438164842,0.353800219833687,0.313301153756585,0.0205526851419611,0.27383044743323,0.299740040857728,0.312815584038114,0.326624136045333,0.354978459504157,0.313310780265049,0.0206231723453775,0.273904862363743,0.299602429747814,0.312751291138836,0.326462458612794,0.355667019607252
"z_init[1]",49.6044527478355,0.0493703967529441,6.69407612086698,37.3228578741913,44.9379920130198,49.2585090421348,53.8479219608788,63.6318301999403,18384.3406444933,0.999973739165466,49.6073599606987,6.7209098986353,37.1489836579264,44.9392320090886,49.2303089300579,53.8618672521906,63.7690963337406,49.6386269925566,6.60295289532192,37.5354445172682,44.9408051346953,49.3146155369752,53.8942113475493,63.3720727798457,49.5673712902512,6.75786652274579,37.2052724120434,44.9369356633811,49.2388403950249,53.8101583501755,63.7516056305528
"z_init[2]",219.887064928013,0.0555696743825505,8.05879148510885,203.843695120629,214.549799597805,219.992567353626,225.274408591986,235.413896241196,21031.2038931631,1.00003136132695,219.864967816745,8.09798416374356,203.733603738137,214.511904762124,220.009814290809,225.203278367067,235.516408886674,219.973397725217,7.92240618904177,204.285068580655,214.727624262279,220.04373626135,225.278958841127,235.200523086159,219.822829242076,8.15422677631536,203.380916094553,214.437265676378,219.908990670936,225.336632639261,235.581799745881
"sigma[1]",0.279479388822269,0.00034522281350477,0.0482391858268579,0.20272035633883,0.245399432445872,0.273366229253738,0.306837024948188,0.390356435774116,19525.4460161299,0.999963168996677,0.279312779133746,0.0486553707980823,0.203516933570508,0.245416011347041,0.272562367854447,0.306789236184118,0.389591196898895,0.279068663273566,0.0477928594033915,0.202054616644869,0.245480957154527,0.273301984107915,0.306288882255785,0.387449247370077,0.280056724059496,0.048264793145676,0.203156319775859,0.245267344974961,0.274225066083327,0.307380234227981,0.391821303235132
"sigma[2]",0.104632749784583,0.000133410223689188,0.0184870538644196,0.075610281246688,0.0915492572820077,0.102182170233048,0.115015165555458,0.147310357055685,19202.4741210132,1.00015585553613,0.104750154918335,0.018351244008503,0.0756966547528123,0.0916176842256648,0.102141620025224,0.115212461209931,0.147029898071151,0.104583108402556,0.0185572075477588,0.0753886607448509,0.0914454167572647,0.102192847680291,0.115095457083677,0.146898442503815,0.104564986032858,0.018553244782338,0.0756539025703117,0.0915791142590452,0.10219580026622,0.114712507545581,0.147907881516972
"z[1,1]",36.5409418494408,0.028067859352962,4.22146379871835,28.8618561335127,33.6473158547877,36.2902656033812,39.217248412902,45.4345724304256,22620.7789260854,0.999976731571265,36.5494562925493,4.23045566239526,28.9697673901437,33.6657777238274,36.2699902716687,39.1871868504769,45.5197160660082,36.5434229748772,4.16856020855694,28.9295422820774,33.6763876025443,36.3073407674481,39.2005534316314,45.1892638224332,36.5299462808957,4.2652063750039,28.7389843776945,33.5918877176023,36.2920244750103,39.249301710878,45.6503479995074
"z[1,2]",200.525517873838,0.0607801413310725,8.06897774612882,184.859602360045,195.131029835644,200.458735670698,205.798218580566,216.66176256726,17624.3709144459,1.00001743886882,200.526299479007,8.09614395797669,184.674486155352,195.183780722695,200.431656416645,205.817938206947,216.64182248327,200.594636953955,7.93669276933503,185.281180953292,195.251511220516,200.453700165281,205.8086165204,216.7642468538,200.455617188552,8.17251028458708,184.372119971543,194.951255894055,200.485936054928,205.754984921675,216.656518883114
"z[2,1]",33.4763950929241,0.0206717452420457,3.42119180383272,27.2956224680754,31.1426714331104,33.3014194853665,35.6127127157766,40.7229106972048,27390.5376802268,1.00000154139099,33.4831345019633,3.41747110332704,27.3205747306959,31.1349461540017,33.2795110701893,35.5929506648611,40.7823385419923,33.4628895298803,3.38055699511902,27.3593358013438,31.1785621186375,33.2788843126473,35.5684185684709,40.4948348528678,33.4831612469287,3.46532152234523,27.2043628237951,31.1029294745393,33.3429650672783,35.6730025724524,40.8800694023215
"z[2,2]",181.078115595743,0.0528820436724885,6.96836932266655,167.833481014515,176.367092146879,180.864807279095,185.530750537789,195.510884346742,17363.8433579276,0.999997916389314,181.09417586636,6.99113547367921,167.913772570108,176.353990014438,180.863153066369,185.671618428482,195.643604494554,181.121808591065,6.86439747740936,168.207080105096,176.46210672754,180.885566930709,185.469948465866,195.337335917068,181.018362329804,7.04858565109188,167.54328204564,176.28043657521,180.836818977945,185.433672005945,195.590513057093
"z[3,1]",37.5162069997533,0.0235526416921326,3.8059858192454,30.6939492781188,34.8865328830224,37.2811711064738,39.8800106464732,45.7279504062745,26112.89853657,1.00001010754383,37.5177768689976,3.79072886219498,30.7998153436309,34.867472752226,37.2391586287566,39.8802179536884,45.8164651977906,37.4921024626746,3.76311324918818,30.6311695560467,34.8899938297891,37.249375337498,39.8177977450799,45.4182153918131,37.5387416675878,3.86364381352052,30.6339820154365,34.9001023903862,37.342725673413,39.9581400318209,45.8105469284983
"z[3,2]",166.790116172168,0.0410438218350649,5.66035474368254,156.314191096532,162.959789492968,166.548906006371,170.370991415051,178.620650672276,19019.176664199,0.99997622382695,166.815339091458,5.68271259971799,156.34903834241,162.953515060229,166.567573874589,170.447131927203,178.726905489357,166.809324881909,5.58618732058472,156.414406413811,162.921916775601,166.592062048012,170.413344794621,178.467425311555,166.745684543136,5.71170422269438,156.181737128778,163.007683162947,166.4833454828,170.256498552295,178.702505159832
"z[4,1]",48.2668102197493,0.0330431811300919,5.01381757993342,39.2656030124512,44.8343048013523,47.9160150945068,51.4007247207075,58.9355785884402,23023.6065763567,0.99998869057845,48.2578547378685,4.99355865169488,39.3683165029835,44.7993353810715,47.8808325693692,51.3988893565778,58.7794333567618,48.2369728188208,4.96294566464961,39.157316475079,44.8662935165134,47.9128240152869,51.3174166303142,58.844870273518,48.3056031025586,5.08440705157076,39.1940319190348,44.8440998678389,47.9595960430554,51.5050119239386,59.2161949644857
"z[4,2]",159.707429050584,0.0302218191770712,4.69328111688254,151.019291678576,156.522327672947,159.494105643668,162.659607059334,169.514177424483,24116.3695899417,0.999953941647641,159.738142957876,4.71020774686217,151.018949989794,156.580692493332,159.49481649402,162.682931723269,169.598314603663,159.704403133489,4.64499461980213,151.056886918466,156.522136774638,159.525366202584,162.674723717598,169.301728408735,159.679741060386,4.72454414846252,150.990939968734,156.466326962543,159.447627334642,162.621760061807,169.643959124849
"z[5,1]",65.6815881033487,0.0457513740172187,6.81720201266171,53.5411672674225,60.9536425836369,65.3101574476634,69.9236160347104,80.2036348188456,22202.6107056626,0.999957455386135,65.6512381798115,6.79555798348213,53.6105083918207,60.9377654122733,65.2979279948387,69.8587925474214,79.9188177021649,65.6601246678608,6.77165143503878,53.3929111296062,60.9883054794528,65.2522671252864,69.8886317155233,80.2021803787413,65.7334014623738,6.88426374641779,53.5772606293997,60.923748438505,65.3798865256022,70.0343501802787,80.451736601044
"z[5,2]",161.142555168695,0.0241780179041177,4.38807484036793,152.944427918971,158.139639504869,160.986098090535,163.96458492621,170.160412218792,32938.7157459283,0.999936274889732,161.175678008833,4.39397621638078,152.930285319894,158.210566762783,161.015966707866,163.972720545653,170.197205151135,161.120231837229,4.35460750436271,152.945640854853,158.131609277504,160.971069290695,163.930860122294,170.083997201357,161.131755660023,4.41566620996901,152.952305254643,158.050342394919,160.967012304328,163.991096708941,170.248528829085
"z[6,1]",85.9356747505282,0.0562916747092082,8.75423753604892,70.1716141459509,79.9454123968271,85.4314345047781,91.3752298432862,104.595684805659,24185.1237714984,0.999941796390216,85.8693993584864,8.73609019369462,70.1411939265301,80.0101459535993,85.3543964528689,91.2760899018633,104.573352008659,85.9519057712491,8.74549778692067,70.2304897018254,79.9763911776561,85.4110234272626,91.304956965354,104.998469345362,85.9857191218492,8.78152543344995,70.1818578955353,79.8315672450122,85.5484665026531,91.5372992300409,104.324981239393
"z[6,2]",172.084203451925,0.026420756218541,4.81392899883153,162.988517191721,168.827258337674,171.958536342039,175.205114476355,181.982058353685,33197.7670595127,0.999923735038421,172.113402061013,4.81801445036703,163.061701272796,168.852329148482,172.001963594203,175.243560670625,182.019785057995,172.051298358587,4.77788580313882,163.0190443623,168.873680840893,171.916291495809,175.098273863185,181.850008174931,172.087909936175,4.8459227433698,162.861546006476,168.758447806691,171.947496302538,175.254356340075,182.015872414975
"z[7,1]",97.5541475349683,0.0592197730152907,9.85788240076206,79.5305649184063,90.8461622946986,97.0555755631396,103.654130725547,118.484102690747,27709.8253824209,0.999961006699409,97.4542706474251,9.87447099602888,79.6645423217593,90.7277699388274,96.9595248829293,103.557020408981,118.359574726145,97.6281335664171,9.86369825368148,79.50100375305,90.9692807939016,97.1075076309993,103.706793482838,118.655914076606,97.5800383910628,9.83560531077948,79.4652785472207,90.8386290833726,97.0634420924132,103.689130944352,118.408751392806
"z[7,2]",190.871571982079,0.031659271504086,5.60168186662776,180.16178411671,187.096432181842,190.799661794842,194.485474489112,202.190918051018,31306.5381563131,0.999923746530942,190.883539589757,5.61647527266042,179.958623778471,187.116815335313,190.860665309168,194.572340827803,202.265903737793,190.850591505414,5.56560528364661,180.457638415629,187.054482919641,190.764718155651,194.482369338969,201.895602395088,190.880584851065,5.62328856064068,180.124683105884,187.100700584254,190.751763574301,194.411509489301,202.273050402518
"z[8,1]",89.5131344989494,0.0549929330029835,8.93866707312776,73.2031315133483,83.3796351580586,89.0720143195962,95.0877041293481,108.597885069105,26419.9357955573,0.999984436948749,89.4191769346179,8.99879005349848,73.4210566721327,83.2126206964387,88.9111145274598,95.0526351253676,108.800829950589,89.6090073063745,8.89275029518496,73.1466658989663,83.6284358776739,89.2793480092055,95.1180221303538,108.333879013252,89.5112192558558,8.92401441927342,73.1131772895093,83.3475058290024,89.0015757052919,95.0746916175387,108.804809349524
