"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"theta[1]",34.8816994053792,0.00626908316117677,0.993291421524848,32.9322195680829,34.2105305305049,34.8785243458123,35.5564223191477,36.8286835397023,25104.1376553429,0.999974688235602,34.8736371063217,0.987149691080052,32.9223722460507,34.2220874262291,34.8724567601492,35.5353768288923,36.8084431798601,34.8952984225832,0.995989522199568,32.9449454970294,34.2037924855922,34.9015098278326,35.5832379721985,36.8240686358712,34.8761626872328,0.996664753742888,32.9299352833384,34.2073582422048,34.8619500585755,35.5516381662895,36.8618379565537
"theta[2]",0.268145775737521,0.000260503732807052,0.0270734951346046,0.217361984335224,0.250532817328782,0.267254047936088,0.284598420861368,0.324357226357608,10800.9200246828,0.999985477310506,0.267829839559758,0.0272636745441217,0.216878303603168,0.250100744768812,0.267135215771119,0.284800965720652,0.323821189736775,0.26840297591229,0.026681911742694,0.218479288274618,0.251053650704942,0.267205693499754,0.284478941433826,0.323922556572712,0.268204511740517,0.0272702626966915,0.216659138679502,0.250455657878573,0.267330951627974,0.284582201983274,0.324950239451043
"theta[3]",0.34392624275,0.000183538642038753,0.0170967626385046,0.30875179888088,0.3332282861865,0.344429797440145,0.355159510346723,0.376357777621325,8677.06271138043,1.00001055052735,0.343735422977056,0.0172691427038198,0.308063026835646,0.33295267168803,0.344289991396535,0.355109614235803,0.376350791205719,0.344105398359931,0.0168847210750593,0.309604226501583,0.33344949768102,0.344734521464655,0.355058225178248,0.376202888238711,0.343937906913012,0.0171339019640471,0.308474578480433,0.333267436378956,0.344300192856932,0.355256639896667,0.376387451818967
"z_init[1]",48.8729638784866,0.08723495466932,9.16509106113755,32.7777026694317,42.4604555342237,48.2310366714367,54.5989190888893,68.4987047251418,11038.0533595969,0.999944196258346,48.8298764991494,9.21609944165601,32.7159697769745,42.4569767572579,48.1592720026989,54.5234988802853,68.6193390968584,48.9179196384557,9.03999368724089,33.0382208323888,42.5766722214742,48.2994426055519,54.5288794324019,68.252904465715,48.8710954978549,9.2385944672531,32.5103122288864,42.386435591919,48.2248686068211,54.727630868431,68.5825010575909
"z_init[2]",246.136736456699,0.0970473209097839,9.45236329700979,225.068622376969,240.60447735076,246.962244969065,252.618887115196,262.529474630249,9486.66814842659,1.0001324040369,245.990500489407,9.63464374809371,224.17979761186,240.419541550441,246.805869313697,252.511898069013,262.686284495643,246.274769250727,9.26347233044421,225.781862722734,240.902635061679,247.12452608041,252.683180890481,262.141624327696,246.144939629963,9.45413125541127,225.294141750966,240.542704272309,246.975616878218,252.622873579305,262.664482296201
"sigma[1]",0.267409497938904,0.000376613815533646,0.048899381880221,0.191499549509364,0.232986431950109,0.260898981665683,0.294194649368212,0.381658678121238,16858.3180853785,1.0002373492259,0.268909104750769,0.0500344484841292,0.191409669790956,0.233365306403888,0.262500044286967,0.296504235844843,0.386878702240285,0.266294819064941,0.0484043265849978,0.190797590111928,0.232627087459094,0.259681923573456,0.292850943205581,0.377836184110755,0.267024570001002,0.0482064538438212,0.192535085522324,0.233053549531653,0.260607766920888,0.29310142778122,0.379838247180956
"sigma[2]",0.199172701774414,0.000223806343308882,0.0336702967340695,0.145823798038209,0.175408142222966,0.194811660739991,0.218153856262325,0.276959542376834,22633.3638232342,1.00000074600985,0.199259061996124,0.0338820761560317,0.146474895997828,0.175069438296288,0.194834444847999,0.218335995415042,0.278047412148096,0.199344242908418,0.0338277882823115,0.145379797254414,0.17530312211977,0.195197137872301,0.218420607295206,0.277709257893498,0.1989148004187,0.0332997845986835,0.145598129080508,0.175883813462738,0.194419050610633,0.217717073056811,0.275756897950023
"z[1,1]",37.3677394233275,0.036437394658503,4.97423580888137,28.7357783284057,34.01555468282,36.9631325096917,40.2998186022868,48.2169214355538,18636.2319071915,0.999913796039166,37.3919868155196,5.01304401624861,28.8284338981492,34.046311651738,36.9669005824124,40.2995962007583,48.5063316787319,37.359492323478,4.92766543686711,28.7693500376031,33.9989766985214,36.9531683722469,40.2117307951556,48.005146412957,37.351739130985,4.98202827456594,28.6708380225621,34.0074816785869,36.9744705613428,40.4054870847414,48.1315110465756
"z[1,2]",230.513186025951,0.0981876186185204,9.33271071591877,211.086304401942,224.526622888709,230.868865409392,236.88237569529,247.973137250566,9034.45906626657,1.00006903089502,230.387966221154,9.4288980251514,210.709132711649,224.402638954446,230.749491677328,236.766034314314,248.179045766233,230.630241771322,9.17428544274064,211.584391157611,224.797559823782,230.954490471598,236.915541561996,247.858918025792,230.521350085376,9.39227376961753,211.288380048904,224.330721725167,230.919821452435,236.970591071623,247.910628957176
"z[2,1]",34.3931909081077,0.0222411892112947,3.76065785531306,27.5903725937356,31.8824391593431,34.1857746001148,36.664685544525,42.3774019206187,28589.8341932055,1.0000480028777,34.4638222810484,3.85108254081722,27.4795407780221,31.8792058929481,34.2781654949092,36.7687568339392,42.6535339256407,34.3456364605981,3.70808866163292,27.7799248523368,31.8656022889008,34.1102911846389,36.6278419317726,42.2837974031911,34.3701139826767,3.72047436608331,27.5113239730538,31.9036037312322,34.1693446859907,36.6046627743841,42.3265265612209
