"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"theta[1]",0.377436785038275,0.000201063348006981,0.0282900269974657,0.326502284046262,0.35830894178957,0.375882403508453,0.394751442498732,0.438250205941962,19797.0693276931,0.999993295763222,0.37760564036601,0.0284706228173073,0.326579939732045,0.358402457794367,0.376038053197813,0.394767455517765,0.438547498709618,0.377381951322158,0.0280376194551264,0.32766333479299,0.358319245790127,0.375746921802942,0.394336514575234,0.43758636264925,0.377322763426658,0.0283620868613596,0.325170835280044,0.358238341441668,0.375848901510193,0.3951533963223,0.438288271372818
"z_init[1]",76.1176552332758,0.0689371344900302,10.3182796067855,56.5476639112008,69.1858978705555,75.7571466570541,82.7086402190925,97.4855826860085,22403.1006656562,1.00009731175939,76.0642031972272,10.2774406126456,56.3874367154948,69.2466987854589,75.746143675539,82.6019666291522,96.9470369030653,76.1864571286864,10.2762308978062,56.5972903501184,69.269036617855,75.8576479360244,82.6866616871661,97.4650224924402,76.102305373914,10.4013193108574,56.8228073895219,69.0575954877362,75.666370109283,82.892481037805,97.942962910226
"z_init[2]",246.846534961339,0.0618111918039935,10.3196342306418,226.720613850119,239.975349607901,246.884925823274,253.631911138567,267.365760176522,27873.6841102587,1.00017055341142,246.639427712682,10.564254119244,226.101131076279,239.766372837765,246.690233452759,253.551412907006,267.767064825896,246.884638819865,10.2895566025303,226.892153184408,239.934567240375,246.973692603148,253.669502971332,267.269086819302,247.01553835147,10.0972520091593,227.358533993481,240.236087560456,246.931504012124,253.712911535573,266.731754913519
"sigma[1]",0.34887707622016,0.000400429652298202,0.0602861623220051,0.254583591516047,0.306284734697367,0.341214114812087,0.382685245999008,0.487277243183222,22666.4140110797,0.999965946261725,0.349080585496243,0.0607876960104673,0.254316798181945,0.306134117978452,0.341311704912692,0.383323458330025,0.489343664941467,0.348852867333988,0.0608854833058383,0.254577110795856,0.305936247742924,0.340836589968195,0.382367840736731,0.492129815301498,0.348697775830247,0.0591754242716255,0.25506917388305,0.306755258246402,0.341248094042674,0.382434069097777,0.481731122896178
"sigma[2]",0.220594332243421,0.000208380876503105,0.0360936185075107,0.162687368995358,0.195143697269098,0.21613081115741,0.241242799251922,0.30388123629872,30001.649054102,1.00002550985271,0.220844666589844,0.036258335825797,0.163257143941334,0.194919632213928,0.216174463406728,0.241323527325767,0.303407244253141,0.220916921578971,0.0363732779922561,0.162788759739642,0.195479190214668,0.216254134404948,0.241738165467801,0.305755616091654,0.220021408561447,0.0356417055686724,0.162076607943701,0.195018795025377,0.215919275997342,0.240701632976644,0.301987184988548
"z[1,1]",54.8206062716709,0.045121915537593,7.8301573159896,40.4825507790457,49.5073465892546,54.4816891188262,59.7630827399474,71.1903300172988,30113.8247493221,1.00016230489982,54.912180081515,7.92211168815972,40.2390677095006,49.63896806587,54.6020543243226,59.8597226482573,71.7632063244876,54.8375780864954,7.78882571781626,40.70330944971,49.50284862798,54.4595305560696,59.9049546807695,70.8649931470269,54.7120606470022,7.77818980307946,40.4798989092184,49.3881486096256,54.3765432422638,59.5336219157448,71.0296214815473
"z[1,2]",248.73802521263,0.0534517050492548,8.6512461676322,231.579708390817,243.060994003609,248.844673158141,254.469367146147,265.603740496925,26195.953640872,1.00009219694024,248.607627252296,8.68176420648201,231.10199529391,242.994248703605,248.786408217652,254.296729881188,265.388412137896,248.808080766018,8.62326885863456,231.802732318081,243.137131951277,248.935637313345,254.536678645447,265.552325755177,248.798367619574,8.64799400742929,231.825091987403,242.999246297095,248.804529411692,254.581180191452,265.847412539127
"z[2,1]",41.129203330013,0.0326157060412513,6.0138651428037,30.2420463026164,36.9848149941218,40.7960961023014,44.9013065301171,54.0272719546016,33998.0338273788,1.00014910426783,41.2419449997919,6.14313607212254,30.0292639385289,37.0803055381319,40.8812558555733,45.0586769538816,54.5448198268917,41.1101767697182,5.96948585237289,30.2726304587445,36.9876558631267,40.8117491921392,44.8421134803546,53.9628555617949,41.0354882205289,5.92555620695668,30.4050140017491,36.907595387602,40.721817498816,44.7936186372165,53.5825256535405
"z[2,2]",233.850491492849,0.0406788485158139,7.26832886963399,219.545344318331,229.068870222496,233.860785002677,238.606889803698,248.111299204935,31925.0684570451,1.00007307252504,233.865665466427,7.26233865564465,219.450956151397,229.147225146408,233.891826800293,238.516549586245,248.071320711109,233.902414531099,7.24487991723622,219.538230527045,229.190760519121,233.906644013401,238.761049196433,248.09796463782,233.78339448102,7.29788350697232,219.675483162493,228.889288574777,233.757576957615,238.589949390974,248.155017494697
"z[3,1]",37.1953076288575,0.0270846906153598,5.19222409328064,27.775605958074,33.6436662037658,36.8962183860154,40.4133957307218,48.1596751223474,36750.1484762482,1.00000829377372,37.2662119603811,5.24337901204136,27.8170905473696,33.7005466323922,36.9544623914984,40.4805313790573,48.2751447157856,37.1616060492525,5.15577446247892,27.7572301896841,33.610645163931,36.8662675766351,40.3494790030734,48.180313955713,37.158104876939,5.17690870016673,27.8082795407149,33.6107875004063,36.8547028467311,40.3913934183564,48.0109818789725
