"","Time","P","I"
"1",0,80,200
"2",1.01013808801807,161,240
"3",2.01853772227564,182,298
"4",3.03094757949671,129,360
"5",4.05196272812548,67,368
"6",5.09751217607288,48,384
"7",6.12478422493714,16,365
"8",7.18645973573672,13,332
"9",8.27366841136081,11,294
"10",9.29788552524064,7,279
"11",10.4002140700249,22,278
"12",11.5708548417356,22,267
"13",12.6484155847061,16,254
"14",13.6791674630622,30,240
"15",14.8136799358901,19,252
"16",15.9090072201287,22,238
"17",16.9523853669448,55,252
"18",17.9527878569421,90,259
"19",18.962071945202,105,277
"20",19.9813644411732,102,310
"21",20.9951192307732,98,339
"22",21.9996022593892,64,356
"23",23.1348055356263,28,347
"24",24.2059802569211,14,332
"25",25.2780092012814,12,309
"26",26.3232738724095,8,304
"27",27.3467034483433,6,295
"28",28.3495816619452,8,283
"29",29.3556186885933,8,272
"30",30.3942448666708,7,259
"31",31.4262709233354,24,256
"32",32.4791190928723,37,252
"33",33.4946484678085,59,241
"34",34.5200011805299,82,268
"35",35.5367814044379,101,296
"36",36.539613110091,89,325
"37",37.5763161285211,61,337
"38",38.6259443497556,59,305
"39",39.655055289339,78,313
"40",40.6867119287565,53,332
"41",41.7728882389809,16,314
"42",42.7848638579516,20,307
"43",43.9328244898408,9,288
"44",44.9515671667207,11,274
"45",46.0372239746482,6,254
"46",47.1658256654012,15,236
"47",48.1948872893384,32,216
"48",49.2022496552306,111,233
"49",50.2214955540446,115,279
"50",51.239553528612,120,333
"51",52.240461004133,85,369
"52",53.2991557871504,28,365
"53",54.3243857243475,10,330
"54",55.3376786109991,9,292
"55",56.3976147089233,8,277
"56",57.4011046101071,5,250
