"","Time","P","I"
"1",0,1,1
"2",1.03124908800984,1,17
"3",2.03479025344141,29,41
"4",3.0400466851716,33,54
"5",4.04075207833201,25,80
"6",5.04460372348555,21,92
"7",6.04481627146658,22,97
"8",7.04624785942679,18,106
"9",8.05496083927195,14,109
"10",9.06522338403606,12,114
"11",10.0653338568312,11,93
"12",11.0670517087616,18,110
"13",12.0738114587812,18,96
"14",13.0793030206951,17,93
"15",14.0922177422069,17,103
"16",15.0993969711934,16,87
"17",16.1005643618574,16,102
"18",17.1063861552043,21,96
"19",18.1128361568886,15,109
"20",19.1176502945022,13,111
"21",20.1213582051419,10,90
"22",21.1292257593873,12,79
"23",22.1352973465489,23,83
"24",23.1370417032909,18,97
"25",24.1409136887704,19,94
"26",25.1452324413143,19,96
"27",26.1519293200096,20,92
"28",27.1569308280188,13,89
"29",28.1592029411921,17,86
"30",29.1616805493847,18,86
"31",30.1637879547663,21,91
"32",31.1833964549442,18,90
"33",32.1868154596631,16,98
"34",33.1987843223233,24,84
"35",34.2043610439542,19,79
"36",35.2088142398023,18,82
"37",36.209963342222,17,79
"38",37.2133263325848,11,82
"39",38.218589591078,19,85
"40",39.22022137268,22,81
"41",40.2239895465628,15,98
"42",41.2265720725712,26,97
"43",42.2445479417972,12,94
"44",43.2824321367829,16,79
"45",44.2889217100864,19,87
"46",45.2893047361347,13,101
"47",46.306376002148,11,93
"48",47.3124347564108,23,81
"49",48.3132338233206,28,80
"50",49.3133724099483,20,80
"51",50.0001328453712,13,79
