"","Time","P","I"
"1",0,10,10
"2",1.01417125582269,55,180
"3",2.02194676123284,182,330
"4",3.04653777164532,549,578
"5",4.05661510006337,1050,1278
"6",5.06904125857317,604,2688
"7",6.13681999082064,113,3182
"8",7.19869725429081,17,2888
"9",8.2434964310521,7,2598
"10",9.32087276223117,15,2311
"11",10.3676967777073,15,2102
"12",11.4174849741545,11,1876
"13",12.4530982038771,12,1749
"14",13.4662600073876,5,1659
"15",14.5395362253273,13,1505
"16",15.5926607459705,7,1375
"17",16.5998070393255,10,1265
"18",17.638823275788,11,1224
"19",18.6388615050716,23,1221
"20",19.6495142423305,18,1196
"21",20.704070789855,13,1224
"22",21.7684302423831,17,1207
"23",22.8182422128299,15,1188
"24",23.8785718407679,17,1151
"25",24.8877793777004,23,1150
"26",25.0582394261265,27,1148
