"","Time","P","I"
"1",0,80,200
"2",1.01218448732326,65,204
"3",2.03512403580202,48,190
"4",3.05253473817666,43,162
"5",4.07021790315243,68,158
"6",5.07101992946035,81,137
"7",6.07416002273002,106,158
"8",7.07434889398459,135,162
"9",8.07549713221361,172,209
"10",9.09873137642782,75,250
"11",10.1397717832257,33,227
"12",11.1756171046163,29,172
"13",12.1770471193454,90,154
"14",13.1916524437861,105,190
"15",14.2058671677684,109,199
"16",15.2167790249828,146,255
"17",16.2637448364318,44,272
"18",17.2665415446601,34,221
"19",18.301077499219,30,181
"20",19.3140110486051,36,163
"21",20.3160784520177,67,133
"22",21.3161308781667,164,147
"23",22.3217424230535,211,265
"24",23.3334247109671,42,306
"25",24.3345635409351,8,231
"26",25.0518090072548,18,180
