"","Time","P","I"
"1",0,80,200
"2",1.00834399320318,77,206
"3",2.00902912556721,40,190
"4",3.04442309668584,18,173
"5",4.04495437335691,15,146
"6",5.05093312473636,32,136
"7",6.05468400121392,88,146
"8",7.06069142116046,122,201
"9",8.08200836307627,44,214
"10",9.10045617917099,23,205
"11",10.1393582870191,24,168
"12",11.146997787502,40,166
"13",12.1523133856423,62,162
"14",13.1594940500721,101,167
"15",14.1645448271178,156,237
"16",15.1756915742088,71,246
"17",16.1950377671079,66,206
"18",17.222999856836,53,206
"19",18.2238255705317,42,199
"20",19.2414366485184,55,189
"21",20.259724237751,47,177
"22",21.2802300314994,71,163
"23",22.2821333794264,91,192
"24",23.3066744310063,62,210
"25",24.3112871336771,65,194
"26",25.0025109044085,64,185
