"","Time","P","I"
"1",0,80,200
"2",1.02604772465415,54,209
"3",2.0340081590992,57,173
"4",3.05962695131017,61,176
"5",4.06103538467761,82,181
"6",5.07382791615081,97,194
"7",6.07899651056539,66,191
"8",7.08464943838695,94,166
"9",8.09126922084681,68,168
"10",9.09900795143148,78,193
"11",10.1108493550525,62,203
"12",11.1294561613842,66,206
"13",12.1540884771757,43,195
"14",13.1556912360819,89,177
"15",14.1621541359812,134,204
"16",15.1700697088652,93,241
"17",16.2022883051774,41,229
"18",17.2360170763196,20,192
"19",18.256227740312,35,173
"20",19.2633248409088,64,152
"21",20.2674792009571,127,169
"22",21.2759947966181,146,209
"23",22.2873839302601,97,229
"24",23.2900368842206,59,235
"25",24.3089890755129,30,185
"26",25.0075987040388,35,156
