"","Time","P","I"
"1",0,1,1
"2",22.3535257896742,2,1
"3",25.3923816678614,3,1
"4",27.5178931968321,4,1
"5",30.1137705313476,4,1
"6",31.5969280354808,5,1
"7",32.6275209245127,6,1
"8",33.6368896631703,9,1
"9",34.6499178376578,11,1
"10",36.7173391883632,15,1
"11",38.3615522600167,18,1
"12",39.75791517513,26,1
"13",41.0828947665063,38,1
"14",42.218119725275,49,1
"15",43.3214670777273,57,1
"16",44.330620974673,69,1
"17",45.3310218699911,80,1
"18",46.360953843936,98,1
"19",47.3648939720263,117,1
"20",48.3831822783248,136,1
"21",49.3960451422134,161,1
"22",50.4085378717948,186,1
"23",51.4110074063055,227,1
"24",52.43627930471,263,1
"25",53.4862442423727,321,1
"26",54.4867558229155,385,1
"27",55.4901168531862,460,2
"28",56.506418166195,537,3
"29",57.5121222545563,654,3
"30",58.5715880856282,798,4
"31",59.6375337062962,930,7
"32",60.6398018415501,995,14
"33",61.6611899085547,1018,23
"34",62.7042959435709,934,32
"35",63.7130727112639,778,51
"36",64.728520630157,519,77
"37",65.7294920067965,241,104
"38",66.7631211965385,76,123
"39",67.7864740548472,28,130
