"","Time","P","I"
"1",0,80,200
"2",1.02807607701774,57,218
"3",2.05095516353202,40,213
"4",3.07039122445506,34,182
"5",4.10193301658245,40,160
"6",5.10356695504114,63,161
"7",6.12439300937911,84,174
"8",7.12903218213522,93,181
"9",8.1478305925286,93,217
"10",9.15591412664576,82,232
"11",10.1658179773608,35,229
"12",11.172362873483,23,186
"13",12.2043298279067,31,163
"14",13.2056817364017,60,166
"15",14.2255547669801,79,165
"16",15.2353293627763,109,197
"17",16.2496809885598,100,236
"18",17.2562733015167,35,230
"19",18.2950142763142,19,195
"20",19.2975624760165,15,180
"21",20.3127801551166,36,172
"22",21.3134675519043,56,155
"23",22.3153188012789,81,159
"24",23.323370070216,93,185
"25",24.3279847620634,107,225
"26",25.001307856237,101,267
