"","Time","P","I"
"1",0,1,1
"2",1.00531941310034,40,14
"3",2.01009842885773,34,71
"4",3.01014273909698,15,71
"5",4.01544984745119,18,77
"6",5.02229587722272,19,86
"7",6.02265775644661,14,70
"8",7.02343289496141,16,78
"9",8.03201751108235,17,97
"10",9.03288327883279,11,95
"11",10.036387444406,12,73
"12",11.036629716744,14,80
"13",12.0381064158576,22,93
"14",13.0383374815084,24,87
"15",14.0426098249301,13,90
"16",15.0496911429037,17,92
"17",16.0544927840647,20,79
"18",17.0548710904994,11,79
"19",18.0564563482926,19,89
"20",19.0582111408453,12,85
"21",20.0620477232074,22,91
"22",21.0703547999806,12,93
"23",22.0879201103755,8,100
"24",23.0912123443511,15,91
"25",24.0981825891414,15,111
"26",25.0014861669222,20,102
