"","Times","P","I"
"133",13.2,56.1875001604416,231.862874408633
"134",13.3,55.4547323758634,228.714321477556
"135",13.4,54.9197512960784,225.609083713824
"136",13.5,54.5763751980755,222.56118999788
"137",13.6,54.4194597702492,219.583293097389
"138",13.7,54.4449104149925,216.686807317978
"139",13.8,54.6496730861412,213.882045970077
"140",13.9,55.0317092873787,211.178355619877
"141",14,55.5899575626133,208.58424572084
"142",14.1,56.3242838471944,206.1075121691
"143",14.2,57.235421786358,203.755354009935
"144",14.3,58.3249031944879,201.534482826581
"145",14.4,59.5949780148726,199.45122460576
"146",14.5,61.0485224566158,197.511614006196
"147",14.6,62.6889333697645,195.721481021748
"148",14.7,64.5200063846643,194.086530024334
"149",14.8,66.5457948761145,192.612411110691
"150",14.9,68.7704464223189,191.304783564469
"151",15,71.1980131262236,190.169371086961
"152",15.1,73.8322319765539,189.212008247717
"153",15.2,76.6762713830679,188.438677361881
"154",15.3,79.7324401733321,187.855534714409
"155",15.4,83.0018557915802,187.468924746494
"156",15.5,86.4840689269445,187.285380322861
"157",15.6,90.1766435852176,187.311607072735
"158",15.7,94.074692522018,187.554449042528
"159",15.8,98.1703708951858,188.020832647482
"160",15.9,102.452333663008,188.71768535243
"161",16,106.905166484745,189.651825148988
"162",16.1,111.508804530858,190.829816512911
"163",16.2,116.237959447862,192.257788288969
"164",16.3,121.061581386684,193.94120895195
"165",16.4,125.942390378449,195.884614973546
"166",16.5,130.83651907482,198.091288759828
"167",16.6,135.693316408761,200.562883937503
"168",16.7,140.455368258773,203.298997842241
"169",16.8,145.058795603623,206.296694067527
"170",16.9,149.433891538842,209.549982033613
"171",17,153.506154145357,213.049265929481
"172",17.1,157.197761649808,216.780781547362
"173",17.2,160.429514712751,220.726047731046
"174",17.3,163.123243317126,224.861366940996
"175",17.4,165.20463610423,229.157418304655
"176",17.5,166.606398761186,233.578993148378
"177",17.6,167.271596703692,238.084928316882
"178",17.7,167.156977807582,242.628294380513
"179",17.8,166.236045028048,247.156885776756
"180",17.9,164.501578258196,251.614048799915
"181",18,161.967347488348,255.939873644632
"182",18.1,158.668763727265,260.072727169393
"183",18.2,154.662298356077,263.951075551875
"184",18.3,150.023633928666,267.515508671755
"185",18.4,144.844496139487,270.71085762294
"186",18.5,139.228584786228,273.488222062863
"187",18.6,133.286793046953,275.806783950092
