"","Times","P","I"
"130",12.9,59.0068986415442,240.483536424864
"131",13,57.6471020774526,238.936905549867
"132",13.1,56.4032074769197,237.32270424811
"133",13.2,55.2745897449557,235.65232850923
"134",13.3,54.2601138619688,233.936800592267
"135",13.4,53.3582704791293,232.186711848803
"136",13.5,52.5672941656364,230.412182275208
"137",13.6,51.8852646091807,228.622834753775
"138",13.7,51.310191542569,226.82778191501
"139",13.8,50.8400846356712,225.03562363864
"140",13.9,50.4730095546483,223.25445335359
"141",14,50.2071317509688,221.491871284641
"142",14.1,50.0407488367011,219.755003459226
"143",14.2,49.9723137557858,218.050524436043
"144",14.3,50.0004486492027,216.384683433395
"145",14.4,50.123951132599,214.763332428196
"146",14.5,50.3417938712635,213.191954481728
"147",14.6,50.6531174725737,211.675694776076
"148",14.7,51.0572184458497,210.219388272555
"149",14.8,51.553531208988,208.827588165842
"150",14.9,52.1416051899941,207.504594111093
"151",15,52.8210762250917,206.25447829889
"152",15.1,53.5916362056018,205.081107565878
"153",15.2,54.4529909381444,203.988168657049
"154",15.3,55.4048201230821,202.97918531325
"155",15.4,56.4467296658662,202.057535170709
"156",15.5,57.5781974853404,201.226464625821
"157",15.6,58.7985149964314,200.489099664146
"158",15.7,60.1067230467972,199.848453493035
"159",15.8,61.5015424056114,199.307430548923
"160",15.9,62.9812990016945,198.868826594633
"161",16,64.5438442396621,198.535324577606
"162",16.1,66.1864709268672,198.30948592301
"163",16.2,67.9058256061634,198.193736915212
"164",16.3,69.6978184005389,198.190349814505
"165",16.4,71.557531837505,198.301418357725
"166",16.5,73.4791305322225,198.528827307537
"167",16.6,75.4557740628535,198.874215749599
"168",16.7,77.4795355418202,199.338933646736
"169",16.8,79.5413314373154,199.923993222781
"170",16.9,81.6308596988629,200.630009399357
"171",17,83.736561545801,201.457139797605
"172",17.1,85.8456029666017,202.405015453962
"173",17.2,87.9438806599563,203.472664185909
"174",17.3,90.0160632891007,204.658431502818
"175",17.4,92.0456692700446,205.959897622664
"176",17.5,94.01518633703,207.373792669111
"177",17.6,95.9062367747336,208.895912285941
"178",17.7,97.6997897245194,210.521036671342
"179",17.8,99.3764308659084,212.2428538423
"180",17.9,100.916650827806,214.053899415599
"181",18,102.301243667439,215.945496009445
"182",18.1,103.511676470595,217.907727780337
"183",18.2,104.53051322429,219.92942972335
"184",18.3,105.341867597849,221.99820290375
"185",18.4,105.931848740965,224.100463269934
"186",18.5,106.288993247783,226.221524973179
"187",18.6,106.404663176267,228.345721102317
"188",18.7,106.273389885316,230.456562818706
"189",18.8,105.893144000991,232.536936499681
"190",18.9,105.265514118281,234.569337689707
"191",19,104.395779092202,236.536128282116
"192",19.1,103.292864742711,238.419839874877
"193",19.2,101.96918810588,240.203461684427
"194",19.3,100.440380104585,241.870749760811
"195",19.4,98.7249094361454,243.406538180013
"196",19.5,96.8436018369673,244.797028413023
"197",19.6,94.8191454311381,246.030026013193
"198",19.7,92.6754419525323,247.095194742426
"199",19.8,90.4370628515664,247.984199249477
"200",19.9,88.1286753022001,248.690821540006
"201",20,85.774487064029,249.211028707294
"202",20.1,83.3977654729732,249.542973548942
"203",20.2,81.0204292669859,249.686941994642
"204",20.3,78.6627240887818,249.645251012881
"205",20.4,76.3429861866385,249.422104179423
"206",20.5,74.0774936429512,249.02341319082
"207",20.6,71.8803994640163,248.456594653837
"208",20.7,69.763737132084,247.730351541024
"209",20.8,67.7374872203642,246.854448067812
"210",20.9,65.8096961221603,245.839485929156
"211",21,63.9866265489844,244.696689405405
"212",21.1,62.2729332790886,243.437703811372
"213",21.2,60.6718536896712,242.074411449979
"214",21.3,59.1854025517148,240.618767971238
"215",21.4,57.8145629121855,239.082660627988
