"","Time","P","I"
"134",13.3,0.982957495114509,1582.76346927215
"135",13.4,0.975413526387494,1571.3615619646
"136",13.5,0.969020828413061,1560.18347115187
"137",13.6,0.963736095659828,1549.22495447017
"138",13.7,0.959520744579832,1538.4818438857
"139",13.8,0.956340561060524,1527.950045144
"140",13.9,0.954165385785336,1517.62553715182
"141",14,0.952968833567975,1507.50437130124
"142",14.1,0.952728043192442,1497.58267074464
"143",14.2,0.953423454699743,1487.85662962786
"144",14.3,0.955038611420951,1478.32251228859
"145",14.4,0.957559984371422,1468.97665242564
"146",14.5,0.960976816898156,1459.81545224462
"147",14.6,0.965280987716532,1450.83538158455
"148",14.7,0.970466890688156,1442.03297702977
"149",14.8,0.976531329881967,1433.40484101073
"150",14.9,0.983473428629317,1424.9476408971
"151",15,0.991294551433147,1416.65810808601
"152",15.1,0.999998237724092,1408.53303708827
"153",15.2,1.00959014657436,1400.56928461473
"154",15.3,1.02007801158541,1392.76376866501
"155",15.4,1.03147160525949,1385.1134676204
"156",15.5,1.04378271224886,1377.61541934269
"157",15.6,1.05702511095219,1370.26672028041
"158",15.7,1.07121456299509,1363.06452458372
"159",15.8,1.08636881019269,1356.00604322938
"160",15.9,1.10250757864737,1349.0885431567
"161",16,1.11965258968451,1342.30934641555
"162",16.1,1.1378275773742,1335.6658293272
"163",16.2,1.15705831242832,1329.15542165898
"164",16.3,1.17737263229978,1322.77560581329
"165",16.4,1.19880047734523,1316.52391603174
"166",16.5,1.22137393294435,1310.39793761492
"167",16.6,1.24512727749783,1304.39530615848
"168",16.7,1.2700970362534,1298.51370680586
"169",16.8,1.2963220409344,1292.75087351837
"170",16.9,1.32384349516914,1287.10458836271
"171",17,1.35270504573957,1281.57268081678
"172",17.1,1.38295285969216,1276.1530270937
"173",17.2,1.41463570736946,1270.84354948484
"174",17.3,1.44780505144128,1265.64221572188
"175",17.4,1.48251514203184,1260.54703835843
"176",17.5,1.51882311805596,1255.55607417149
"177",17.6,1.55678911489303,1250.66742358307
"178",17.7,1.59647637854329,1245.87923010232
"179",17.8,1.63795138642569,1241.1896797885
"180",17.9,1.68128397499058,1236.59700073505
"181",18,1.7265474743347,1232.09946257527
"182",18.1,1.77381885001882,1227.69537600976
"183",18.2,1.82317885230142,1223.38309235604
"184",18.3,1.87471217301418,1219.16100312085
"185",18.4,1.92850761031682,1215.02753959524
"186",18.5,1.98465824158061,1210.98117247315
"187",18.6,2.04326160466059,1207.0204114936
"188",18.7,2.10441988782708,1203.14380510711
"189",18.8,2.16824012863721,1199.34994016681
"190",18.9,2.23483442203635,1195.63744164449
"191",19,2.30432013798325,1192.00497237236
"192",19.1,2.37682014892665,1188.45123281089
"193",19.2,2.45246306740894,1184.97496084316
"194",19.3,2.53138349415015,1181.57493159659
"195",19.4,2.61372227691905,1178.24995729234
"196",19.5,2.69962678053205,1174.99888712313
"197",19.6,2.78925116830186,1171.8206071602
"198",19.7,2.88275669527091,1168.71404028996
"199",19.8,2.98031201356206,1165.67814618106
"200",19.9,3.08209349017491,1162.7119212828
"201",20,3.18828553755201,1159.81439885533
"202",20.1,3.29908095723216,1156.98464903286
"203",20.2,3.41468129689786,1154.2217789203
"204",20.3,3.53529722111114,1151.52493272461
"205",20.4,3.66114889601604,1148.89329192145
"206",20.5,3.79246638826518,1146.32607545833
"207",20.6,3.92949007840464,1143.82253999504
"208",20.7,4.07247108892324,1141.38198018259
"209",20.8,4.221671727132,1139.00372898154
"210",20.9,4.37736594300899,1136.68715802091
"211",21,4.539839802098,1134.43167799878
"212",21.1,4.70939197348491,1132.23673912576
"213",21.2,4.88633423282674,1130.10183161244
"214",21.3,5.07099198033526,1128.02648620217
"215",21.4,5.26370477353806,1126.01027475032
"216",21.5,5.46482687455143,1124.05281085127
"217",21.6,5.67472781149963,1122.15375051461
"218",21.7,5.89379295360265,1120.31279289159
"219",21.8,6.12242409932905,1118.52968105339
"220",21.9,6.36104007687011,1116.80420282242
"221",22,6.61007735603522,1115.13619165798
"222",22.1,6.86999067049501,1113.52552759776
"223",22.2,7.14125364910599,1111.97213825628
"224",22.3,7.4243594548379,1110.47599988175
"225",22.4,7.71982142958985,1109.03713847261
"226",22.5,8.02817374292169,1107.65563095482
"227",22.6,8.34997204244652,1106.33160642157
"228",22.7,8.68579410325425,1105.0652474355
"229",22.8,9.0362404736682,1103.85679139638
"230",22.9,9.40193511372859,1102.70653197135
"231",23,9.78352602293922,1101.6148205939
"232",23.1,10.1816858530619,1100.58206802865
"233",23.2,10.5971125013334,1099.60874600269
"234",23.3,11.0305296789664,1098.69538890457
"235",23.4,11.4826874492131,1097.8425955509
"236",23.5,11.9543627286602,1097.05103102015
"237",23.6,12.4463597447587,1096.3214285534
"238",23.7,12.9595104418832,1095.65459152106
"239",23.8,13.4946748274462,1095.05139545447
"240",23.9,14.0527412487744,1094.51279014061
"241",24,14.6346265905812,1094.03980177807
"242",24.1,15.2412763819349,1093.63353519128
"243",24.2,15.8736648006322,1093.29517609999
"244",24.3,16.5327945618443,1093.02599343989
"245",24.4,17.2196966767924,1092.8273417297
"246",24.5,17.9354300660547,1092.70066347908
"247",24.6,18.6810810108928,1092.64749163094
"248",24.7,19.4577624247216,1092.66945203038
"249",24.8,20.2666129255437,1092.76826591176
"250",24.9,21.1087956886063,1092.94575239361
"251",25,21.9854970589337,1093.20383097015
"252",25.1,22.8979249012613,1093.54452398692
"253",25.2,23.8473066454659,1093.96995908384
"254",25.3,24.8348870355571,1094.48237159078
"255",25.4,25.8619255320921,1095.0841068584
"256",25.5,26.9296933365083,1095.77762250035
"257",25.6,28.0394700150009,1096.56549052553
"258",25.7,29.1925396919699,1097.45039933401
"259",25.8,30.3901867783777,1098.43515554844
"260",25.9,31.6336912005911,1099.52268564708
"261",26,32.9243231004578,1100.71603736691
"262",26.1,34.2633369693054,1102.01838083535
"263",26.2,35.6519651841655,1103.43300938937
"264",26.3,37.0914109117951,1104.96334003481
"265",26.4,38.5828403492709,1106.61291349575
"266",26.5,40.1273742701866,1108.38539379845
"267",26.6,41.7260788477557,1110.28456732956
"268",26.7,43.3799557290833,1112.31434130363
"269",26.8,45.089931339158,1114.47874157009
"270",26.9,46.8568453967633,1116.7819096834
"271",27,48.6814386302131,1119.22809915437
"272",27.1,50.564339689727,1121.82167079842
"273",27.2,52.506051254421,1124.56708708135
"274",27.3,54.5069353600427,1127.4689053798
"275",27.4,56.5671979432926,1130.53177002552
"276",27.5,58.6868726925363,1133.76040308253
"277",27.6,60.8658041842269,1137.15959366036
"278",27.7,63.1036304161956,1140.73418570131
"279",27.8,65.3997648199927,1144.48906412039
"280",27.9,67.7533778437408,1148.42913915968
"281",28,70.163378233128,1152.55932883733
"282",28.1,72.6283941575363,1156.88453936793
"283",28.2,75.1467543522597,1161.40964343221
"284",28.3,77.7164694733116,1166.1394561788
"285",28.4,80.3352138878395,1171.0787088471
"286",28.5,83.0003081503529,1176.23201991015
"287",28.6,85.7087024423678,1181.60386364915
"288",28.7,88.4569612801007,1187.19853608796
"289",28.8,91.2412498208664,1193.02011823638
"290",28.9,94.0573221230524,1199.07243661678
"291",29,96.900511736074,1205.35902107826
"292",29.1,99.7657250145807,1211.88305993856
"293",29.2,102.647437564271,1218.64735253502
"294",29.3,105.539694233839,1225.65425931258
"295",29.4,108.436113067565,1232.90564963042
"296",29.5,111.329893628864,1240.40284752559
"297",29.6,114.213830052463,1248.1465757483
"298",29.7,117.080329171167,1256.13689843284
"299",29.8,119.921434363525,1264.37316279118
"300",29.9,122.728854727355,1272.85394054179
"301",30,125.494000224128,1281.57696949606
"302",30.1,128.208022951706,1290.53909604111
"303",30.2,130.861864429809,1299.73621929542
"304",30.3,133.446308819315,1309.16323781777
"305",30.4,135.952041833541,1318.81399972847
"306",30.5,138.369715209378,1328.68125725754
"307",30.6,140.69001586182,1338.75662664868
"308",30.7,142.903739642298,1349.03055465901
"309",30.8,145.001868611515,1359.4922926056
"310",30.9,146.975650951026,1370.12987900974
"311",31,148.816682571986,1380.93013191828
"312",31.1,150.51698925526,1391.87865186507
"313",31.2,152.069108079088,1402.95983635551
"314",31.3,153.466166814218,1414.15690663969
"315",31.4,154.701959916614,1425.45194738839
"316",31.5,155.771019729555,1436.82595970557
